"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","perc_max","osm_id","rcf_superficie","comm_fkt"
"w594265392",5,0,1,1,1,9,338.5,341.5,34.792134326549,NA,NA,NA,NA,NA,NA,92.6916820912054,594265392,2509.94,"FASINTSARA_FASINTSARA"
"w594266134",7,1,1,7,1,8,348.75,338.5,12.5512943253396,1,7,4,168,168,7.90480128304244,85.9526259645986,594266134,3155.354,"FASINTSARA_FASINTSARA"
"w656418965",8,2,0,5,12,9,274.8,293,14.2694547059458,12,7,3,198.5,198.5,19.3089643184776,68.0061862869911,656418965,7443.742,"MAROHARATRA_SAHOMBY"
"w666581822",5,0,0,4,4,10,364.75,383,25.1979913678493,NA,NA,NA,NA,NA,NA,94.4707171671994,666581822,5714.811,"RANOMAFANA_AMPASIMPOTSY"
"w666584000",7,1,0,5,4,8,287.4,356,16.7734177981896,11,5,2,195,195,32.3696137427833,73.8647299311561,666584000,32748.598,"KELILALINA_ANOSY"
"w666588014",8,1,2,4,11,8,269.4,222,12.1358672550439,11,6,3,209,209,9.67421379678967,105.858030522447,666588014,2040.993,"RANOMAFANA_VOHIMARINA"
"w666844976",5,0,0,5,4,9,379,339,19.2511850453323,NA,NA,NA,NA,NA,NA,97.7077609164028,666844976,2312.804,"AMBIABE_ANKABOKA"
"w666889710",8,1,1,6,2,10,304.2,336,21.1150933954754,1,6,3,146,146,19.1770420410333,76.3934117281721,666889710,8863.666,"AMPASINAMBO_VOLOBE"
"w666897677",5,0,1,6,6,1,370,383,13.0420000244312,NA,NA,NA,NA,NA,NA,72.2378417394889,666897677,13949.5,"IFANADIANA_FENOARIVO I"
"w667674249",5,0,0,5,6,3,375.5,374,19.6794793946072,NA,NA,NA,NA,NA,NA,60.5332813478555,667674249,12009.418,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667674250",7,1,1,7,1,9,297.75,299.5,13.6482118807816,1,7,3,181,181,7.99721393923972,68.5585281877729,667674250,16844.644,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667674251",5,1,0,7,5,10,475.25,317.5,7.64098682884182,12,6,3,187,187,3.99586673389455,59.9723245621404,667674251,11499.918,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667674259",5,0,0,6,6,2,366.25,359,22.0849178505499,NA,NA,NA,NA,NA,NA,55.9375292318286,667674259,67355.947,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667676722",6,0,0,6,2,9,356,336,19.2657382104344,NA,NA,NA,NA,NA,NA,89.38823681548,667676722,4798.563,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667676724",6,0,1,6,7,2,347.25,359.5,20.6764386074572,NA,NA,NA,NA,NA,NA,81.2768313340606,667676724,17824.482,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667680844",7,0,2,5,5,9,330.25,339,12.2420571662805,NA,NA,NA,NA,NA,NA,37.0916271878076,667680844,5788.786,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667680845",5,0,0,4,6,9,378.5,380.5,10.6347607464994,NA,NA,NA,NA,NA,NA,57.8795715536767,667680845,42477.363,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667680853",6,1,0,7,7,11,318.2,314,13.0483028950541,2,8,5,181,181,8.88893113675622,66.026375354725,667680853,3165.41,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667685155",8,2,1,7,1,10,267.4,257,14.1517032109147,1,7,4,184.5,184.5,13.1729824599878,74.2108538169642,667685155,7895.581,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667685157",6,0,1,6,5,10,345.5,342.5,10.1048613429983,NA,NA,NA,NA,NA,NA,29.1356702236947,667685157,8767.085,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667685158",6,0,1,5,5,12,336.75,341.5,7.71680125002095,NA,NA,NA,NA,NA,NA,54.909846149427,667685158,5704.486,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667685159",4,0,0,6,8,10,484,335,23.1546615405337,NA,NA,NA,NA,NA,NA,88.6553490845119,667685159,2427.776,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
