"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","perc_max","osm_id","rcf_superficie","comm_fkt"
"w594265392",6,1,2,5,1,9,270.25,269,43.6179304760372,1,6,4,159,159,37.2612399895372,92.6916820912054,594265392,2509.94,"FASINTSARA_FASINTSARA"
"w594266134",7,1,1,7,1,9,356,341.5,16.4454332324178,1,7,4,161,161,8.20260309794861,85.9526259645986,594266134,3155.354,"FASINTSARA_FASINTSARA"
"w656418965",8,2,0,6,12,9,273.6,287,19.5765842217772,12,6,3,194.5,194.5,21.4973130541949,68.0061862869911,656418965,7443.742,"MAROHARATRA_SAHOMBY"
"w666581822",6,0,0,5,5,12,367,369,42.6086302913632,NA,NA,NA,NA,NA,NA,94.4707171671994,666581822,5714.811,"RANOMAFANA_AMPASIMPOTSY"
"w666584000",7,1,1,5,10,1,331.75,223.5,25.886046969883,10,5,2,202,202,45.477487486252,73.8647299311561,666584000,32748.598,"KELILALINA_ANOSY"
"w666588014",5,0,0,4,1,11,443.25,419,22.8581299144012,NA,NA,NA,NA,NA,NA,105.858030522447,666588014,2040.993,"RANOMAFANA_VOHIMARINA"
"w666844976",7,0,2,4,4,10,379.25,349.5,34.4032237924599,NA,NA,NA,NA,NA,NA,97.7077609164028,666844976,2312.804,"AMBIABE_ANKABOKA"
"w666889710",8,1,2,7,6,10,293,317.5,26.7617841372456,1,6,3,145,145,25.0722378520156,76.3934117281721,666889710,8863.666,"AMPASINAMBO_VOLOBE"
"w666897677",6,0,1,7,8,1,352,356,16.3806026047472,NA,NA,NA,NA,NA,NA,72.2378417394889,666897677,13949.5,"IFANADIANA_FENOARIVO I"
"w667674249",5,0,0,4,6,3,378.75,374,23.8001576876172,NA,NA,NA,NA,NA,NA,60.5332813478555,667674249,12009.418,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667674250",7,1,1,7,1,1,292.5,296.5,18.7294737167776,1,7,3,181,181,10.8890838514511,68.5585281877729,667674250,16844.644,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
