"comm_fkt","year","month","rain_mm","date"
"AMBIABE_AMBALAFASINA",2022,11,69.6632285714149,2022-11-01
"AMBIABE_AMBALAFASINA",2022,12,178.201748609543,2022-12-01
"AMBIABE_AMBALAFASINA",2023,1,318.885034739971,2023-01-01
"AMBIABE_AMBALAFASINA",2023,2,137.42262879014,2023-02-01
"AMBIABE_AMBALAFASINA",2023,3,187.456516981125,2023-03-01
"AMBIABE_AMBALAFASINA",2023,4,53.3708021640778,2023-04-01
"AMBIABE_AMBALAFASINA",2023,5,31.9041177630424,2023-05-01
"AMBIABE_AMBALAFASINA",2023,6,11.2278510183096,2023-06-01
"AMBIABE_AMBALAFASINA",2023,7,34.6081695556641,2023-07-01
"AMBIABE_AMBALAFASINA",2023,8,0,2023-08-01
"AMBIABE_AMBALAFASINA",2023,9,0.947645306587219,2023-09-01
"AMBIABE_AMBALAFASINA",2023,10,40.0284738540649,2023-10-01
"AMBIABE_AMBALAFASINA",2023,11,18.3751657009125,2023-11-01
"AMBIABE_AMBALAFASINA",2023,12,177.69293987751,2023-12-01
"AMBIABE_AMBALAFASINA",2024,1,236.678541392088,2024-01-01
"AMBIABE_AMBALATENINA",2015,8,0,2015-08-01
"AMBIABE_AMBALATENINA",2015,9,0,2015-09-01
"AMBIABE_AMBALATENINA",2015,10,74.8991810548971,2015-10-01
"AMBIABE_AMBALATENINA",2015,11,139.540284046288,2015-11-01
"AMBIABE_AMBALATENINA",2015,12,191.758760006387,2015-12-01
"AMBIABE_AMBALATENINA",2016,1,83.8895283430943,2016-01-01
"AMBIABE_AMBALATENINA",2016,2,113.444779008499,2016-02-01
"AMBIABE_AMBALATENINA",2016,3,204.755243510136,2016-03-01
"AMBIABE_AMBALATENINA",2016,4,12.0095067075394,2016-04-01
"AMBIABE_AMBALATENINA",2016,5,0,2016-05-01
"AMBIABE_AMBALATENINA",2016,6,0,2016-06-01
"AMBIABE_AMBALATENINA",2016,7,0,2016-07-01
"AMBIABE_AMBALATENINA",2016,8,0,2016-08-01
"AMBIABE_AMBALATENINA",2016,9,0,2016-09-01
"AMBIABE_AMBALATENINA",2016,10,61.1057739881999,2016-10-01
"AMBIABE_AMBALATENINA",2016,11,121.419484967326,2016-11-01
"AMBIABE_AMBALATENINA",2016,12,69.2269407229362,2016-12-01
"AMBIABE_AMBALATENINA",2017,1,29.9264943937375,2017-01-01
"AMBIABE_AMBALATENINA",2017,2,241.892028621594,2017-02-01
"AMBIABE_AMBALATENINA",2017,3,203.145265862665,2017-03-01
"AMBIABE_AMBALATENINA",2017,4,73.500357795171,2017-04-01
"AMBIABE_AMBALATENINA",2017,5,0,2017-05-01
"AMBIABE_AMBALATENINA",2017,6,0,2017-06-01
"AMBIABE_AMBALATENINA",2017,7,0,2017-07-01
"AMBIABE_AMBALATENINA",2017,8,0,2017-08-01
"AMBIABE_AMBALATENINA",2017,9,0,2017-09-01
"AMBIABE_AMBALATENINA",2017,10,0,2017-10-01
"AMBIABE_AMBALATENINA",2017,11,234.654532176486,2017-11-01
"AMBIABE_AMBALATENINA",2017,12,236.347457607545,2017-12-01
"AMBIABE_AMBALATENINA",2018,1,291.685614373551,2018-01-01
"AMBIABE_AMBALATENINA",2018,2,148.71355698958,2018-02-01
"AMBIABE_AMBALATENINA",2018,3,65.3087547480293,2018-03-01
"AMBIABE_AMBALATENINA",2018,4,66.6924951352787,2018-04-01
"AMBIABE_AMBALATENINA",2018,5,9.419034106537,2018-05-01
"AMBIABE_AMBALATENINA",2018,6,0,2018-06-01
"AMBIABE_AMBALATENINA",2018,7,0,2018-07-01
"AMBIABE_AMBALATENINA",2018,8,0,2018-08-01
"AMBIABE_AMBALATENINA",2018,9,0.324700642041382,2018-09-01
"AMBIABE_AMBALATENINA",2018,10,33.2494989730769,2018-10-01
"AMBIABE_AMBALATENINA",2018,11,176.071439355228,2018-11-01
"AMBIABE_AMBALATENINA",2018,12,282.61547260837,2018-12-01
"AMBIABE_AMBALATENINA",2019,1,234.699335940406,2019-01-01
"AMBIABE_AMBALATENINA",2019,2,119.476392795344,2019-02-01
"AMBIABE_AMBALATENINA",2019,3,158.153713624365,2019-03-01
"AMBIABE_AMBALATENINA",2019,4,15.4769136598693,2019-04-01
"AMBIABE_AMBALATENINA",2019,5,0,2019-05-01
"AMBIABE_AMBALATENINA",2019,6,0,2019-06-01
"AMBIABE_AMBALATENINA",2019,7,0,2019-07-01
"AMBIABE_AMBALATENINA",2019,8,0,2019-08-01
"AMBIABE_AMBALATENINA",2019,9,0,2019-09-01
"AMBIABE_AMBALATENINA",2019,10,42.1531188477774,2019-10-01
"AMBIABE_AMBALATENINA",2019,11,121.285391740021,2019-11-01
"AMBIABE_AMBALATENINA",2019,12,183.057530528998,2019-12-01
"AMBIABE_AMBALATENINA",2020,1,283.798843622208,2020-01-01
"AMBIABE_AMBALATENINA",2020,2,181.839771675961,2020-02-01
"AMBIABE_AMBALATENINA",2020,3,91.810802672554,2020-03-01
"AMBIABE_AMBALATENINA",2020,4,0,2020-04-01
"AMBIABE_AMBALATENINA",2020,5,9.24034334763948,2020-05-01
"AMBIABE_AMBALATENINA",2020,6,9.48068669527897,2020-06-01
"AMBIABE_AMBALATENINA",2020,7,9,2020-07-01
"AMBIABE_AMBALATENINA",2020,8,0,2020-08-01
"AMBIABE_AMBALATENINA",2020,9,0,2020-09-01
"AMBIABE_AMBALATENINA",2020,10,21.9592266287415,2020-10-01
"AMBIABE_AMBALATENINA",2020,11,48.1201716738197,2020-11-01
"AMBIABE_AMBALATENINA",2020,12,205.804719732555,2020-12-01
"AMBIABE_AMBALATENINA",2021,1,92.8819708926483,2021-01-01
"AMBIABE_AMBALATENINA",2021,2,332.39484764885,2021-02-01
"AMBIABE_AMBALATENINA",2021,3,123.95708112553,2021-03-01
"AMBIABE_AMBALATENINA",2021,4,28.9206000192994,2021-04-01
"AMBIABE_AMBALATENINA",2021,5,0,2021-05-01
"AMBIABE_AMBALATENINA",2021,6,0,2021-06-01
"AMBIABE_AMBALATENINA",2021,7,0,2021-07-01
"AMBIABE_AMBALATENINA",2021,8,0,2021-08-01
"AMBIABE_AMBALATENINA",2021,9,0,2021-09-01
"AMBIABE_AMBALATENINA",2021,10,0,2021-10-01
"AMBIABE_AMBALATENINA",2021,11,148.665137978582,2021-11-01
"AMBIABE_AMBALATENINA",2021,12,121.520640389602,2021-12-01
"AMBIABE_AMBALATENINA",2022,1,475.848266837935,2022-01-01
"AMBIABE_AMBALATENINA",2022,2,277.320843906362,2022-02-01
"AMBIABE_AMBALATENINA",2022,3,144.472778699429,2022-03-01
"AMBIABE_AMBALATENINA",2022,4,22.563941173799,2022-04-01
"AMBIABE_AMBALATENINA",2022,5,0,2022-05-01
"AMBIABE_AMBALATENINA",2022,6,0,2022-06-01
"AMBIABE_AMBALATENINA",2022,7,0,2022-07-01
"AMBIABE_AMBALATENINA",2022,8,0,2022-08-01
"AMBIABE_AMBALATENINA",2022,9,0,2022-09-01
"AMBIABE_AMBALATENINA",2022,10,31.3709775306636,2022-10-01
"AMBIABE_AMBALATENINA",2022,11,74.1224708352478,2022-11-01
"AMBIABE_AMBALATENINA",2022,12,146.182417519614,2022-12-01
"AMBIABE_AMBALATENINA",2023,1,327.388798754103,2023-01-01
"AMBIABE_AMBALATENINA",2023,2,181.291334463291,2023-02-01
